Tanggal,Terakhir,Pembukaan,Tertinggi,Terendah,Perubahan%
25/11/2020,14130,14145,14177.5,14140,-0.07%
26/11/2020,14090,14125,14137.5,14100,-0.28%
27/11/2020,14070,14105,14136.5,14090,-0.14%
30/11/2020,14090,14070,14150,14070,0.14%
1/12/2020,14100,14117.5,14182.5,14117.5,0.07%
2/12/2020,14090,14120,14156,14120,-0.07%
3/12/2020,14100,14120,14179,14120,0.07%
4/12/2020,14085,14135,14162.5,14102.5,-0.11%
7/12/2020,14080,14110,14135,14101,-0.04%
8/12/2020,14080,14110,14150,14110,0.00%
10/12/2020,14090,14095,14120,14095,0.07%
11/12/2020,14070,14100,14119,14079.5,-0.14%
14/12/2020,14070,14100,14155,14095,0.00%
15/12/2020,14090,14105,14173.5,14105,0.14%
16/12/2020,14090,14110,14158,14110,0.00%
17/12/2020,14085,14125,14137.5,14105,-0.04%
18/12/2020,14080,14102.5,14147.5,14100,-0.04%
21/12/2020,14100,14110,14175,14110,0.14%
22/12/2020,14145,14140,14212.5,14140,0.32%
23/12/2020,14150,14155,14274,14155,0.04%
28/12/2020,14140,14155,14177.5,14150,-0.07%
29/12/2020,14110,14150,14160,14130,-0.21%
30/12/2020,14050,14120,14120,14050,-0.43%
